,img_path,class,age_class,mask_class,gender_class,age,re_age_class1,re_age_class2,re_age_class3,re_labeled_class1,re_labeled_class2,re_labeled_class3
0,000001_female_Asian_45/mask1.jpg,4,1,0,1,45,1,1,1,4,4,4
1,000001_female_Asian_45/mask5.jpg,4,1,0,1,45,1,1,1,4,4,4
2,000001_female_Asian_45/mask2.jpg,4,1,0,1,45,1,1,1,4,4,4
3,000001_female_Asian_45/mask4.jpg,4,1,0,1,45,1,1,1,4,4,4
4,000001_female_Asian_45/incorrect_mask.jpg,10,1,1,1,45,1,1,1,10,10,10
5,000001_female_Asian_45/normal.jpg,16,1,2,1,45,1,1,1,16,16,16
6,000001_female_Asian_45/mask3.jpg,4,1,0,1,45,1,1,1,4,4,4
7,000002_female_Asian_52/mask1.jpg,4,1,0,1,52,1,1,1,4,4,4
8,000002_female_Asian_52/mask5.jpg,4,1,0,1,52,1,1,1,4,4,4
9,000002_female_Asian_52/mask2.jpg,4,1,0,1,52,1,1,1,4,4,4
10,000002_female_Asian_52/mask4.jpg,4,1,0,1,52,1,1,1,4,4,4
11,000002_female_Asian_52/incorrect_mask.jpg,10,1,1,1,52,1,1,1,10,10,10
12,000002_female_Asian_52/normal.jpg,16,1,2,1,52,1,1,1,16,16,16
13,000002_female_Asian_52/mask3.jpg,4,1,0,1,52,1,1,1,4,4,4
14,000004_male_Asian_54/mask1.jpg,1,1,0,0,54,1,1,1,1,1,1
15,000004_male_Asian_54/mask5.jpg,1,1,0,0,54,1,1,1,1,1,1
16,000004_male_Asian_54/mask2.jpg,1,1,0,0,54,1,1,1,1,1,1
17,000004_male_Asian_54/mask4.jpg,1,1,0,0,54,1,1,1,1,1,1
18,000004_male_Asian_54/incorrect_mask.jpg,7,1,1,0,54,1,1,1,7,7,7
19,000004_male_Asian_54/normal.jpg,13,1,2,0,54,1,1,1,13,13,13
20,000004_male_Asian_54/mask3.jpg,1,1,0,0,54,1,1,1,1,1,1
21,000005_female_Asian_58/mask1.jpg,4,1,0,1,58,1,2,2,4,5,5
22,000005_female_Asian_58/mask5.jpg,4,1,0,1,58,1,2,2,4,5,5
23,000005_female_Asian_58/mask2.jpg,4,1,0,1,58,1,2,2,4,5,5
24,000005_female_Asian_58/mask4.jpg,4,1,0,1,58,1,2,2,4,5,5
25,000005_female_Asian_58/incorrect_mask.jpg,10,1,1,1,58,1,2,2,10,11,11
26,000005_female_Asian_58/normal.jpg,16,1,2,1,58,1,2,2,16,17,17
27,000005_female_Asian_58/mask3.jpg,4,1,0,1,58,1,2,2,4,5,5
28,000006_female_Asian_59/mask1.jpg,4,1,0,1,59,2,2,2,5,5,5
29,000006_female_Asian_59/mask5.jpg,4,1,0,1,59,2,2,2,5,5,5
30,000006_female_Asian_59/mask2.jpg,4,1,0,1,59,2,2,2,5,5,5
31,000006_female_Asian_59/mask4.jpg,4,1,0,1,59,2,2,2,5,5,5
32,000006_female_Asian_59/incorrect_mask.jpg,10,1,1,1,59,2,2,2,11,11,11
33,000006_female_Asian_59/normal.jpg,16,1,2,1,59,2,2,2,17,17,17
34,000006_female_Asian_59/mask3.jpg,4,1,0,1,59,2,2,2,5,5,5
35,000007_female_Asian_58/mask1.jpg,4,1,0,1,58,1,2,2,4,5,5
36,000007_female_Asian_58/mask5.jpg,4,1,0,1,58,1,2,2,4,5,5
37,000007_female_Asian_58/mask2.jpg,4,1,0,1,58,1,2,2,4,5,5
38,000007_female_Asian_58/mask4.jpg,4,1,0,1,58,1,2,2,4,5,5
39,000007_female_Asian_58/incorrect_mask.jpg,10,1,1,1,58,1,2,2,10,11,11
40,000007_female_Asian_58/normal.jpg,16,1,2,1,58,1,2,2,16,17,17
41,000007_female_Asian_58/mask3.jpg,4,1,0,1,58,1,2,2,4,5,5
42,000008_female_Asian_58/mask1.jpg,4,1,0,1,58,1,2,2,4,5,5
43,000008_female_Asian_58/mask5.jpg,4,1,0,1,58,1,2,2,4,5,5
44,000008_female_Asian_58/mask2.jpg,4,1,0,1,58,1,2,2,4,5,5
45,000008_female_Asian_58/mask4.jpg,4,1,0,1,58,1,2,2,4,5,5
46,000008_female_Asian_58/incorrect_mask.jpg,10,1,1,1,58,1,2,2,10,11,11
47,000008_female_Asian_58/normal.jpg,16,1,2,1,58,1,2,2,16,17,17
48,000008_female_Asian_58/mask3.jpg,4,1,0,1,58,1,2,2,4,5,5
49,000009_female_Asian_56/mask1.jpg,4,1,0,1,56,1,1,1,4,4,4
50,000009_female_Asian_56/mask5.jpg,4,1,0,1,56,1,1,1,4,4,4
51,000009_female_Asian_56/mask2.jpg,4,1,0,1,56,1,1,1,4,4,4
